Constraint ID,Pattern,File/Lines,Type
JED-8,boolean-property,org/gjt/sp/jedit/options/SaveBackupOptionPane.java:210,tool-assisted
JED-9,boolean-property,org/gjt/sp/jedit/Buffer.java:208,manual
JTI-1,constant-argument,org/joda/time/chrono/EthiopicChronology.java:145,manual
JTI-10,binary-comparison,org/joda/time/chrono/BasicFixedMonthChronology.java:112,manual
JTI-11,binary-comparison,org/joda/time/chrono/LimitChronology.java:283,manual
JTI-12,constant-argument,org/joda/time/chrono/CopticChronology.java:144,manual
JTI-13,mod-op,"src/main/java/org/joda/time/chrono/BasicChronology.java:567,571",manual
JTI-2,binary-comparison,org/joda/time/chrono/LimitChronology.java:283,manual
JTI-3,constant-argument,org/joda/time/chrono/GJChronology.java:104,manual
JTI-4,binary-flag-check,org/joda/time/chrono/IslamicChronology.java:544,manual
JTI-5,constant-argument,org/joda/time/chrono/IslamicChronology.java:170,manual
JTI-5,constant-argument,org/joda/time/chrono/IslamicChronology.java:180,tool-assisted
JTI-6,constant-argument,org/joda/time/chrono/IslamicChronology.java:212,manual
JTI-7,binary-comparison,org/joda/time/field/FieldUtils.java:274,manual
JTI-8,binary-comparison,org/joda/time/field/FieldUtils.java:274,manual
JTI-8,binary-comparison,org/joda/time/chrono/BasicChronology.java:524,tool-assisted
JTI-8,binary-comparison,org/joda/time/chrono/BasicWeekyearDateTimeField.java:108,tool-assisted
JTI-9,binary-comparison,org/joda/time/base/AbstractInterval.java:62,manual
RHI-1,equals-or-chain,org/mozilla/javascript/TokenStream.java:838,manual
RHI-10,binary-comparison,org/mozilla/javascript/Interpreter.java:3980,manual
RHI-11,binary-comparison,org/mozilla/javascript/IRFactory.java:1354,manual
RHI-12,self-comparison,org/mozilla/javascript/Interpreter.java:3985,manual
RHI-13,binary-comparison,org/mozilla/javascript/Interpreter.java:3981,manual
RHI-14,binary-comparison,org/mozilla/javascript/ScriptRuntime.java:279,manual
RHI-15,switch-len-char,org/mozilla/javascript/TokenStream.java:188,manual
RHI-16,boolean-property,org/mozilla/javascript/ScriptRuntime.java:284,manual
RHI-17,self-comparison,org/mozilla/javascript/ScriptRuntime.java:938,manual
RHI-17,self-comparison,org/mozilla/javascript/ScriptRuntime.java:980,tool-assisted
RHI-18,binary-comparison,org/mozilla/javascript/ScriptRuntime.java:941,manual
RHI-18,boolean-property,org/mozilla/javascript/NativeDate.java:764,tool-assisted
RHI-19,binary-comparison,org/mozilla/javascript/ScriptRuntime.java:663,manual
RHI-19,binary-comparison,org/mozilla/javascript/NativeArray.java:571,tool-assisted
RHI-2,constant-argument,org/mozilla/javascript/ScriptRuntime.java:2822,manual
RHI-2,constant-argument,org/mozilla/javascript/NativeCall.java:94,tool-assisted
RHI-20,switch-len-char,org/mozilla/javascript/TokenStream.java:188,manual
RHI-21,cast-self-comparison,src/org/mozilla/javascript/ScriptRuntime.java:975,manual
RHI-22,boolean-property,src/org/mozilla/javascript/DToA.java:1262,manual
RHI-3,binary-comparison,org/mozilla/javascript/TokenStream.java:1277,manual
RHI-3,binary-comparison,org/mozilla/javascript/TokenStream.java:306,tool-assisted
RHI-3,binary-comparison,org/mozilla/javascript/TokenStream.java:515,tool-assisted
RHI-3,binary-comparison,org/mozilla/javascript/TokenStream.java:866,tool-assisted
RHI-4,null-check,org/mozilla/javascript/ScriptableObject.java:224,manual
RHI-4,null-check,org/mozilla/javascript/ScriptableObject.java:158,tool-assisted
RHI-4,null-check,org/mozilla/javascript/ScriptableObject.java:197,tool-assisted
RHI-4,null-check,org/mozilla/javascript/ScriptableObject.java:263,tool-assisted
RHI-4,null-check,org/mozilla/javascript/ScriptableObject.java:386,tool-assisted
RHI-4,null-check,org/mozilla/javascript/ScriptableObject.java:440,tool-assisted
